,Barrio,Barrio Latitude,Barrio Longitude,Venue,Venue Latitude,Venue Longitude,Category
0,La Barceloneta,41.3806533,2.1899274,Baluard Barceloneta,41.38004687981699,2.189249637101365,Bakery
1,La Barceloneta,41.3806533,2.1899274,BRO,41.380213875422356,2.1890065281702524,Burger Joint
2,La Barceloneta,41.3806533,2.1899274,La Cova Fumada,41.37925390526866,2.1892540978203394,Tapas Restaurant
3,La Barceloneta,41.3806533,2.1899274,Plaça de la Barceloneta,41.3797389508097,2.1881353855133057,Plaza
4,La Barceloneta,41.3806533,2.1899274,Somorrostro,41.37915630767672,2.189099682467895,Spanish Restaurant
5,La Barceloneta,41.3806533,2.1899274,Bodega Fermín,41.37930321199982,2.1895446496980386,Beer Bar
6,La Barceloneta,41.3806533,2.1899274,acqua&farina,41.3810234,2.1901521,Pizza Place
7,La Barceloneta,41.3806533,2.1899274,Rumbanroll,41.38059695009252,2.1878065054525377,Mediterranean Restaurant
8,La Barceloneta,41.3806533,2.1899274,Mesōn Barceloneta,41.38053329752473,2.1872047197081876,Paella Restaurant
9,La Barceloneta,41.3806533,2.1899274,Vinoteca Voramar,41.38072588908475,2.1883147533952836,Wine Shop
10,La Barceloneta,41.3806533,2.1899274,Bitácora,41.382069649585716,2.1876076142386567,Tapas Restaurant
11,La Barceloneta,41.3806533,2.1899274,La Barra Carles Abellan,41.37983778805918,2.1877115727248437,Restaurant
12,La Barceloneta,41.3806533,2.1899274,Platja de la Barceloneta (Playa de la Barceloneta),41.37961014544736,2.1930384635925293,Beach
13,La Barceloneta,41.3806533,2.1899274,La Bombeta,41.38052091621836,2.1875733924235035,Tapas Restaurant
14,La Barceloneta,41.3806533,2.1899274,Jai-Ca,41.38150091672574,2.1878577976008304,Tapas Restaurant
15,La Barceloneta,41.3806533,2.1899274,Onda Hair & Beauty Salon,41.37962508572007,2.189593425902352,Salon / Barbershop
16,La Barceloneta,41.3806533,2.1899274,el bar del Basko,41.37941431607088,2.1905011848537317,Tapas Restaurant
17,La Barceloneta,41.3806533,2.1899274,Cal Papi,41.37921948515008,2.19003368638829,Mediterranean Restaurant
18,La Barceloneta,41.3806533,2.1899274,Koke Dama Sushi Bar,41.381705,2.188736,Sushi Restaurant
19,La Barceloneta,41.3806533,2.1899274,El Vaso de Oro,41.381973137651435,2.187206685957127,Beer Bar
20,La Barceloneta,41.3806533,2.1899274,La Fábrica,41.37844,2.190621,Food & Drink Shop
21,La Barceloneta,41.3806533,2.1899274,La Carioca,41.380843,2.186375,Brazilian Restaurant
22,La Barceloneta,41.3806533,2.1899274,Mercat de la Barceloneta,41.3803561815596,2.1891894936561584,Market
23,La Barceloneta,41.3806533,2.1899274,La Pampa,41.379161732790166,2.1877484892718715,Argentinian Restaurant
24,La Barceloneta,41.3806533,2.1899274,Can Maño,41.381164867623546,2.188436615303488,Mediterranean Restaurant
25,La Barceloneta,41.3806533,2.1899274,Piñol,41.380570591150686,2.1917041755900755,Bar
26,La Barceloneta,41.3806533,2.1899274,Can Solé,41.378899419193175,2.1883746251428193,Spanish Restaurant
27,La Barceloneta,41.3806533,2.1899274,Bar Electricitat,41.37936196579641,2.189932144627611,Tapas Restaurant
28,La Barceloneta,41.3806533,2.1899274,Passeig Marítim de la Barceloneta,41.38012536536615,2.192823886871338,Beach
29,La Barceloneta,41.3806533,2.1899274,NAP Mar,41.37753029604167,2.1900548798841104,Pizza Place
30,La Barceloneta,41.3806533,2.1899274,L'Ostia,41.379794138302714,2.188012783720029,Mediterranean Restaurant
31,La Barceloneta,41.3806533,2.1899274,El Tio Pio,41.381613099192094,2.1868216007937367,Restaurant
32,La Barceloneta,41.3806533,2.1899274,La Roseta,41.377792404484836,2.190246208757311,Coffee Shop
33,La Barceloneta,41.3806533,2.1899274,Leo,41.379511456124796,2.190965511539291,Bar
34,La Barceloneta,41.3806533,2.1899274,Caupolican,41.38097763250426,2.1896159081453423,Bar
35,La Barceloneta,41.3806533,2.1899274,Woki Playa,41.379059634660244,2.192119624868215,Fish & Chips Shop
36,La Barceloneta,41.3806533,2.1899274,1881 per Sagardi,41.38060119144596,2.1858386081747536,Tapas Restaurant
37,La Barceloneta,41.3806533,2.1899274,La Casita,41.380331730293435,2.1894238884096504,Italian Restaurant
38,La Barceloneta,41.3806533,2.1899274,Terrasa de les indianes,41.380525956538534,2.1858185464946365,Cocktail Bar
39,La Barceloneta,41.3806533,2.1899274,Iguazu,41.378107,2.18871,BBQ Joint
40,La Barceloneta,41.3806533,2.1899274,La Malandrina,41.378128929548396,2.188567209692612,Steakhouse
41,La Barceloneta,41.3806533,2.1899274,Gelats Dino,41.378152547001484,2.1882576658185124,Ice Cream Shop
42,La Barceloneta,41.3806533,2.1899274,Can Ros,41.37732383037213,2.1893700330650034,Paella Restaurant
43,La Barceloneta,41.3806533,2.1899274,Magatzem del Port,41.38049300874053,2.186319162931189,Spanish Restaurant
44,La Barceloneta,41.3806533,2.1899274,OneOcean Club,41.3796544775902,2.1861353040974114,Restaurant
45,La Barceloneta,41.3806533,2.1899274,FitBar,41.37963,2.1884096,Juice Bar
46,La Barceloneta,41.3806533,2.1899274,Barraca,41.3790722864595,2.1919951022155177,Paella Restaurant
47,La Barceloneta,41.3806533,2.1899274,El Lokillo,41.37808601082858,2.1888094307526242,Bar
48,La Barceloneta,41.3806533,2.1899274,Bacoa Barceloneta,41.376675,2.190202,Burger Joint
49,La Barceloneta,41.3806533,2.1899274,El Uruguayo,41.37826579464186,2.188861426936149,South American Restaurant
50,La Barceloneta,41.3806533,2.1899274,N°30,41.37937,2.1881254,Bar
51,La Barceloneta,41.3806533,2.1899274,Brunch & Cake by the Sea,41.38099681119947,2.1869506187156627,Breakfast Spot
52,La Barceloneta,41.3806533,2.1899274,Paco Alcalde,41.377336,2.1897589,Paella Restaurant
53,La Barceloneta,41.3806533,2.1899274,Can Majó,41.3775248264719,2.190922122697283,Paella Restaurant
54,La Barceloneta,41.3806533,2.1899274,Museu d'Història de Catalunya,41.38068442806635,2.186023155026679,History Museum
55,La Barceloneta,41.3806533,2.1899274,CocoHouse,41.377173,2.190422,Juice Bar
56,La Barceloneta,41.3806533,2.1899274,Urbandock,41.378086183984585,2.188436183497511,Burger Joint
57,La Barceloneta,41.3806533,2.1899274,H10 Port Vell,41.381397366845064,2.1841764987414236,Hotel
58,La Barceloneta,41.3806533,2.1899274,Can Santi,41.37850571311331,2.1907056356388983,Tapas Restaurant
59,La Barceloneta,41.3806533,2.1899274,Green Spot,41.38156200982809,2.184232834140539,Vegetarian / Vegan Restaurant
60,La Barceloneta,41.3806533,2.1899274,Fàbrica del Sol,41.38235032904024,2.191602063075529,Museum
61,La Barceloneta,41.3806533,2.1899274,Nostrum Barceloneta,41.37901470709972,2.18975512296524,Food & Drink Shop
62,La Barceloneta,41.3806533,2.1899274,Residencia Campus del Mar,41.38258153657281,2.1908614847193895,College Residence Hall
63,La Barceloneta,41.3806533,2.1899274,Reina Margherita,41.379034970125794,2.18782489880054,Pizza Place
64,La Barceloneta,41.3806533,2.1899274,Club De Futbol Barceloneta,41.38371596335473,2.192034768093693,Soccer Field
